6,5,0,3,0.007633588,1,0.000499438,0.016304348,0,0.631415362,0,0.021276596,0.012048193,US,freeloader
42,32,5,1,0.114503817,0.824,0.005618679,0.130434783,0,0.711307267,0.019230769,0.021276596,0.092369478,IQ,freeloader
21,20,1,1,0.030534351,1,0.00262205,0.065217391,0,0.748970115,0.076923077,0.021276596,0.046184739,US,freeloader
7,4,0,6,0.007633588,0.8,0.000374579,0.010869565,0,0.413569361,0,0.010638298,0.014056225,GB,freeloader
24,22,2,1,0.038167939,1,0.001248595,0.076086957,0,0.741968025,0.057692308,0.042553191,0.052208835,JP,freeloader
37,34,0,0,0.053435115,1,0.012985391,0.222826087,0,0.712735177,0,0.021276596,0.080321285,MX,freeloader
23,8,6,0,0.038167939,1,0.000624298,0.141304348,0,0.738283836,0.134615385,0.021276596,0.050200803,KY,freeloader
21,19,0,4,0.030534351,1,0.003745786,0.032608696,0,0.561201225,0.019230769,0,0.046184739,GB,freeloader
34,26,3,1,0.053435115,1,0.004869522,0.10326087,0,0.724860733,0.038461538,0.042553191,0.074297189,CA,freeloader
12,0,8,2,0.015267176,0.2,0.000249719,0.027173913,0,0.652356386,0,0.031914894,0.026104418,US,freeloader
15,14,0,1,0.022900763,1,0.001248595,0.048913043,0,0.75983387,0.019230769,0.021276596,0.032128514,US,freeloader
49,24,5,2,0.076335878,1,0.001748033,0.130434783,0,0.666538548,0,0.010638298,0.140562249,US,freeloader
4,3,0,0,0.007633588,0.8,0.000374579,0.027173913,0,0.837449585,0,0.010638298,0.008032129,GB,freeloader
39,33,1,2,0.106870229,0.808,0.008740167,0.086956522,0,0.684480129,0,0.010638298,0.092369478,CA,freeloader
42,40,0,5,0.061068702,1,0.015108003,0.048913043,0,0.502823762,0,0.010638298,0.092369478,US,freeloader
67,66,0,4,0.183206107,0.8,0.063178924,0.114130435,0,0.604835721,0,0.117021277,0.200803213,US,freeloader
8,6,0,1,0.015267176,1,0.000624298,0.027173913,0,0.767757415,0.019230769,0.010638298,0.016064257,US,freeloader
15,11,1,0,0.022900763,1,0.001997753,0.092391304,0,0.789520064,0.019230769,0.021276596,0.032128514,US,freeloader
4,0,0,0,0.007633588,0,0.000249719,0.027173913,0,0.838611244,0.038461538,0.074468085,0.008032129,IQ,freeloader
3,0,0,5,0.007633588,0,0.000249719,0.010869565,0,0.488254164,0,0.031914894,0.006024096,US,freeloader
56,55,1,8,0.152671756,0.808,0.039205893,0.065217391,0,0.325907689,0,0.053191489,0.200803213,US,freeloader
15,11,1,0,0.022900763,0.8,0.002372331,0.092391304,0,0.789520064,0,0.031914894,0.032128514,IQ,freeloader
34,30,0,6,0.091603053,0.808,0.008865027,0.038043478,0,0.428913835,0,0.031914894,0.084337349,US,freeloader
20,17,0,0,0.030534351,0.8,0.002372331,0.119565217,0,0.774664546,0,0.031914894,0.042168675,FR,freeloader
53,56,6,1,0.083969466,1,0.006992134,0.163043478,0,0.706267616,0.057692308,0.010638298,0.116465863,US,freeloader
68,58,1,10,0.183206107,0.8,0.038581596,0.048913043,0,0.164089339,0,0.042553191,0.192771084,UY,freeloader
17,15,0,0,0.022900763,1,0.001872893,0.10326087,0,0.787261256,0,0.021276596,0.036144578,US,freeloader
23,17,0,1,0.038167939,0.8,0.002497191,0.070652174,0,0.745871336,0.019230769,0,0.050200803,US,freeloader
24,20,0,1,0.038167939,0.8,0.003121488,0.076086957,0,0.746362947,0,0.106382979,0.052208835,US,freeloader
27,23,1,2,0.038167939,1,0.003745786,0.059782609,0,0.688967985,0,0.010638298,0.058232932,US,freeloader
32,1,8,4,0.045801527,0.992,0.000249719,0.043478261,0,0.521537247,0,0.010638298,0.070281124,US,freeloader
118,84,1,11,0.213740458,0.8,0.045948308,0.086956522,0,0.110960934,0.019230769,0.159574468,0.365461847,US,freeloader
76,60,0,2,0.20610687,0.808,0.045074291,0.195652174,0,0.658481629,0.038461538,0.063829787,0.212851406,FR,freeloader
34,25,1,4,0.053435115,1,0.004494943,0.054347826,0,0.560259706,0,0.031914894,0.09437751,US,freeloader
94,71,0,1,0.175572519,0.8,0.065925833,0.423913043,0,0.706821101,0.096153846,0.138297872,0.309236948,US,freeloader
9,10,0,0,0.015267176,0.8,0.001123736,0.054347826,0,0.817007828,0,0.021276596,0.018072289,AU,freeloader
28,28,0,2,0.076335878,0.8,0.008989886,0.059782609,0,0.694524922,0.038461538,0.010638298,0.060240964,FR,freeloader
28,27,0,0,0.045801527,1,0.009863903,0.190217391,0,0.756128426,0,0.010638298,0.068273092,AU,freeloader
75,57,3,4,0.175572519,0.744,0.006992134,0.135869565,0.033707865,0.583331981,0.019230769,0.159574468,0.242971888,FR,dolphin
10,0,5,2,0.015267176,0.2,0.000249719,0.027173913,0,0.6657084,0,0.031914894,0.022088353,US,freeloader
64,59,0,8,0.122137405,0.8,0.057560245,0.054347826,0,0.30692679,0.038461538,0.117021277,0.168674699,GB,freeloader
37,33,0,1,0.083969466,0.8,0.009489325,0.114130435,0,0.727761745,0.019230769,0.021276596,0.080321285,SD,freeloader
28,24,1,7,0.076335878,0.808,0.004619803,0.027173913,0,0.351770238,0.038461538,0.021276596,0.060240964,US,freeloader
113,94,2,0,0.198473282,0.8,0.218504183,1,0,0.525118469,0.019230769,0.170212766,0.36746988,AT,freeloader
36,32,0,2,0.099236641,0.808,0.012111375,0.092391304,0,0.694213749,0,0.074468085,0.096385542,US,freeloader
11,0,5,3,0.015267176,0.2,0.000249719,0.02173913,0,0.597736431,0,0.042553191,0.024096386,MX,freeloader
20,16,0,5,0.030534351,0.8,0.001997753,0.02173913,0,0.487314197,0,0.042553191,0.042168675,US,freeloader
